model,cycles
UF_8-l1i_32kB-l1d_64kB-l2_128kB,42331637
UF_8-l1i_32kB-l1d_64kB-l2_256kB,42204906
UF_8-l1i_32kB-l1d_64kB-l2_512kB,42134491
UF_8-l1i_32kB-l1d_64kB-l2_1024kB,42152235
UF_8-l1i_64kB-l1d_2kB-l2_128kB,59653602
UF_8-l1i_64kB-l1d_2kB-l2_256kB,59634278
UF_8-l1i_64kB-l1d_2kB-l2_512kB,59622579
UF_8-l1i_64kB-l1d_2kB-l2_1024kB,59649098
UF_8-l1i_64kB-l1d_4kB-l2_128kB,59548341
UF_8-l1i_64kB-l1d_4kB-l2_256kB,59531214
UF_8-l1i_64kB-l1d_4kB-l2_512kB,59506499
UF_8-l1i_64kB-l1d_4kB-l2_1024kB,59505264
UF_8-l1i_64kB-l1d_8kB-l2_128kB,59454058
UF_8-l1i_64kB-l1d_8kB-l2_256kB,59438657
UF_8-l1i_64kB-l1d_8kB-l2_512kB,59423967
UF_8-l1i_64kB-l1d_8kB-l2_1024kB,59442867
UF_8-l1i_64kB-l1d_16kB-l2_128kB,42464505
UF_8-l1i_64kB-l1d_16kB-l2_256kB,42510452
UF_8-l1i_64kB-l1d_16kB-l2_512kB,42490150
UF_8-l1i_64kB-l1d_16kB-l2_1024kB,42501752
UF_8-l1i_64kB-l1d_32kB-l2_128kB,42179036
UF_8-l1i_64kB-l1d_32kB-l2_256kB,42204343
UF_8-l1i_64kB-l1d_32kB-l2_512kB,42139083
UF_8-l1i_64kB-l1d_32kB-l2_1024kB,42154186
UF_8-l1i_64kB-l1d_64kB-l2_128kB,42328894
UF_8-l1i_64kB-l1d_64kB-l2_256kB,42204343
UF_8-l1i_64kB-l1d_64kB-l2_512kB,42184156
UF_8-l1i_64kB-l1d_64kB-l2_1024kB,42148185
UF_16-l1i_2kB-l1d_2kB-l2_128kB,64567916
